params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'min_samples_leaf': 7, 'min_samples_split': 7}",0.8635235732009927,0.9284740230707323,0.9259061514286507,0.8699763593380615,0.8700929983009926,77,63,19,71,71
"{'min_samples_leaf': 7, 'min_samples_split': 8}",0.8663366336633662,0.929099973173567,0.9250414427257573,0.8723404255319149,0.8724514888670303,51,42,50,51,58
"{'min_samples_leaf': 7, 'min_samples_split': 9}",0.8678304239401495,0.9312013770902261,0.9260378980663214,0.8747044917257684,0.8748323347938836,40,4,16,21,22
"{'min_samples_leaf': 7, 'min_samples_split': 10}",0.8663366336633662,0.9274903871948492,0.9240429508110732,0.8723404255319149,0.8724514888670303,51,81,79,51,58
"{'min_samples_leaf': 8, 'min_samples_split': 2}",0.8678304239401495,0.9288652418850042,0.9243363081991025,0.8747044917257684,0.8748323347938836,40,49,71,21,22
"{'min_samples_leaf': 8, 'min_samples_split': 3}",0.8635235732009927,0.9277139408030045,0.9240725254433646,0.8699763593380615,0.8700929983009926,77,79,78,71,71
"{'min_samples_leaf': 8, 'min_samples_split': 4}",0.8684863523573201,0.9297035679155861,0.9253539851080055,0.8747044917257684,0.8748211571134759,21,28,30,21,32
"{'min_samples_leaf': 8, 'min_samples_split': 5}",0.8635235732009927,0.9283510685862469,0.9247940704925156,0.8699763593380615,0.8700929983009926,77,64,53,71,71
"{'min_samples_leaf': 8, 'min_samples_split': 6}",0.8656716417910448,0.9277921845658588,0.9241380811256334,0.8723404255319149,0.8724626665474381,64,77,75,51,51
"{'min_samples_leaf': 8, 'min_samples_split': 7}",0.8613861386138613,0.9310001788428865,0.9263741415559935,0.8676122931442081,0.867723330054547,88,6,10,88,88
"{'min_samples_leaf': 8, 'min_samples_split': 8}",0.8678304239401495,0.9289770186890817,0.9245293287809846,0.8747044917257684,0.8748323347938836,40,45,65,21,22
"{'min_samples_leaf': 8, 'min_samples_split': 9}",0.8684863523573201,0.9290440847715282,0.9247495712692682,0.8747044917257684,0.8748211571134759,21,43,56,21,32
"{'min_samples_leaf': 8, 'min_samples_split': 10}",0.8613861386138613,0.9272444782258786,0.9238746246790498,0.8676122931442081,0.867723330054547,88,83,84,88,88
"{'min_samples_leaf': 9, 'min_samples_split': 2}",0.8706467661691543,0.9294241259053921,0.9247539747238924,0.8770685579196218,0.8771908253599213,8,35,55,8,12
"{'min_samples_leaf': 9, 'min_samples_split': 3}",0.8684863523573201,0.9296812125547707,0.9252742158759495,0.8747044917257684,0.8748211571134759,21,29,34,21,32
