params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'min_samples_leaf': 7, 'min_samples_split': 7}",0.8140350877192982,0.8748710010319918,0.8689230067482001,0.8262295081967214,0.8264533883728931,24,40,51,14,16
"{'min_samples_leaf': 7, 'min_samples_split': 8}",0.8140350877192982,0.873000515995872,0.8631030296502197,0.8262295081967214,0.8264533883728931,24,66,81,14,16
"{'min_samples_leaf': 7, 'min_samples_split': 9}",0.8085106382978724,0.8745915032679739,0.8718092153637492,0.8229508196721311,0.8232069143446852,65,45,22,42,42
"{'min_samples_leaf': 7, 'min_samples_split': 10}",0.8083623693379791,0.8808909528723771,0.8737778539505217,0.819672131147541,0.8198744410044719,68,2,8,68,79
"{'min_samples_leaf': 8, 'min_samples_split': 2}",0.8181818181818182,0.8754729962160303,0.8696161657314007,0.8295081967213115,0.8297213622291022,6,36,40,4,6
"{'min_samples_leaf': 8, 'min_samples_split': 3}",0.8140350877192982,0.8731510147918816,0.8688528739501171,0.8262295081967214,0.8264533883728931,24,64,53,14,16
"{'min_samples_leaf': 8, 'min_samples_split': 4}",0.8125,0.8759459924320606,0.8664732542005903,0.8229508196721311,0.8231424148606811,42,28,71,42,61
"{'min_samples_leaf': 8, 'min_samples_split': 5}",0.8083623693379791,0.8743980048159614,0.8678294684657704,0.819672131147541,0.8198744410044719,68,46,65,68,79
"{'min_samples_leaf': 8, 'min_samples_split': 6}",0.8125,0.8750859993120055,0.8717711333798848,0.8229508196721311,0.8231424148606811,42,39,23,42,61
"{'min_samples_leaf': 8, 'min_samples_split': 7}",0.8098591549295775,0.8791494668042655,0.8719409210450053,0.8229508196721311,0.8231854145166839,55,8,18,42,45
"{'min_samples_leaf': 8, 'min_samples_split': 8}",0.8098591549295775,0.8768274853801169,0.8706269451564972,0.8229508196721311,0.8231854145166839,55,19,31,42,45
"{'min_samples_leaf': 8, 'min_samples_split': 9}",0.8070175438596492,0.8740110079119368,0.8719041535051917,0.819672131147541,0.8198959408324733,75,53,20,68,75
"{'min_samples_leaf': 8, 'min_samples_split': 10}",0.8098591549295775,0.880030959752322,0.872679159513417,0.8229508196721311,0.8231854145166839,55,5,14,42,45
"{'min_samples_leaf': 9, 'min_samples_split': 2}",0.801418439716312,0.8718180254557963,0.8626731978817115,0.8163934426229508,0.8166494668042656,88,78,83,86,86
"{'min_samples_leaf': 9, 'min_samples_split': 3}",0.8056537102473499,0.8712160302717579,0.8622883416711133,0.819672131147541,0.8199174406604748,80,81,85,68,69
"{'min_samples_leaf': 9, 'min_samples_split': 4}",0.8153310104529616,0.8747205022359821,0.8730183163135495,0.8262295081967214,0.8264318885448916,14,42,11,14,32
"{'min_samples_leaf': 9, 'min_samples_split': 5}",0.8127208480565371,0.8728715170278637,0.8686236387411806,0.8262295081967214,0.8264748882008943,40,69,58,14,14
"{'min_samples_leaf': 9, 'min_samples_split': 6}",0.8083623693379791,0.8759889920880632,0.879575381620794,0.819672131147541,0.8198744410044719,68,27,1,68,79
"{'min_samples_leaf': 9, 'min_samples_split': 7}",0.8098591549295775,0.8757739938080495,0.8709745514279542,0.8229508196721311,0.8231854145166839,55,31,28,42,45
"{'min_samples_leaf': 9, 'min_samples_split': 8}",0.8111888111888111,0.871173030615755,0.8668762378167015,0.8229508196721311,0.8231639146886824,49,82,69,42,55
"{'min_samples_leaf': 9, 'min_samples_split': 9}",0.8111888111888111,0.8690875472996216,0.8605644328591573,0.8229508196721311,0.8231639146886824,49,89,89,42,55
"{'min_samples_leaf': 9, 'min_samples_split': 10}",0.8181818181818182,0.8742260061919505,0.8688754518222229,0.8295081967213115,0.8297213622291022,6,50,52,4,6
"{'min_samples_leaf': 10, 'min_samples_split': 2}",0.8098591549295775,0.8810844513243894,0.8788770033438602,0.8229508196721311,0.8231854145166839,55,1,2,42,45
"{'min_samples_leaf': 10, 'min_samples_split': 3}",0.8153310104529616,0.8718395252837977,0.8645955253646593,0.8262295081967214,0.8264318885448916,14,77,75,14,32
"{'min_samples_leaf': 10, 'min_samples_split': 4}",0.8140350877192982,0.8753869969040247,0.878847139310768,0.8262295081967214,0.8264533883728931,24,37,3,14,16
"{'min_samples_leaf': 10, 'min_samples_split': 5}",0.8140350877192982,0.8739895080839353,0.8693035173542967,0.8262295081967214,0.8264533883728931,24,54,44,14,16
"{'min_samples_leaf': 10, 'min_samples_split': 6}",0.8140350877192982,0.8715600275197798,0.8671671798022798,0.8262295081967214,0.8264533883728931,24,80,68,14,16
"{'min_samples_leaf': 10, 'min_samples_split': 7}",0.8140350877192982,0.8740540075679395,0.8681355785235643,0.8262295081967214,0.8264533883728931,24,52,61,14,16
"{'min_samples_leaf': 10, 'min_samples_split': 8}",0.8083623693379791,0.8764404884760922,0.8711612833745994,0.819672131147541,0.8198744410044719,68,20,27,68,79
"{'min_samples_leaf': 10, 'min_samples_split': 9}",0.8169014084507041,0.8721190230478155,0.8705683346010105,0.8295081967213115,0.8297428620571035,12,74,32,4,4
"{'min_samples_leaf': 10, 'min_samples_split': 10}",0.8111888111888111,0.8717750257997936,0.8631967435709125,0.8229508196721311,0.8231639146886824,49,79,80,42,55
