nohup: ignoring input
experiment: K562 dpcp_rf
trainSet len:[X=71150,y=71150]
testSet len:[X=4147,y=4147]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 32/150] END max_depth=31; total=4147, TP=101, TN=3895, FP=55, FN=96; precision=0.647, recall=0.513
accuracy: (test=0.964) average_precision: (test=0.588) balanced_accuracy: (test=0.749) f1: (test=0.572) roc_auc: (test=0.867) 1.98min
[fit 33/150] END max_depth=32; total=4147, TP=99, TN=3904, FP=46, FN=98; precision=0.683, recall=0.503
accuracy: (test=0.965) average_precision: (test=0.594) balanced_accuracy: (test=0.745) f1: (test=0.579) roc_auc: (test=0.872) 2.03min
[fit 34/150] END max_depth=33; total=4147, TP=98, TN=3899, FP=51, FN=99; precision=0.658, recall=0.497
accuracy: (test=0.964) average_precision: (test=0.588) balanced_accuracy: (test=0.742) f1: (test=0.566) roc_auc: (test=0.871) 2.02min
[fit 35/150] END max_depth=34; total=4147, TP=97, TN=3899, FP=51, FN=100; precision=0.655, recall=0.492
accuracy: (test=0.964) average_precision: (test=0.585) balanced_accuracy: (test=0.740) f1: (test=0.562) roc_auc: (test=0.867) 1.98min
[fit 36/150] END max_depth=35; total=4147, TP=99, TN=3903, FP=47, FN=98; precision=0.678, recall=0.503
accuracy: (test=0.965) average_precision: (test=0.583) balanced_accuracy: (test=0.745) f1: (test=0.577) roc_auc: (test=0.865) 1.96min
[fit 37/150] END max_depth=36; total=4147, TP=99, TN=3903, FP=47, FN=98; precision=0.678, recall=0.503
accuracy: (test=0.965) average_precision: (test=0.587) balanced_accuracy: (test=0.745) f1: (test=0.577) roc_auc: (test=0.869) 1.91min
[fit 38/150] END max_depth=37; total=4147, TP=99, TN=3902, FP=48, FN=98; precision=0.673, recall=0.503
accuracy: (test=0.965) average_precision: (test=0.585) balanced_accuracy: (test=0.745) f1: (test=0.576) roc_auc: (test=0.863) 1.90min
[fit 39/150] END max_depth=38; total=4147, TP=99, TN=3905, FP=45, FN=98; precision=0.688, recall=0.503
accuracy: (test=0.966) average_precision: (test=0.589) balanced_accuracy: (test=0.746) f1: (test=0.581) roc_auc: (test=0.863) 1.89min
[fit 40/150] END max_depth=39; total=4147, TP=100, TN=3901, FP=49, FN=97; precision=0.671, recall=0.508
accuracy: (test=0.965) average_precision: (test=0.582) balanced_accuracy: (test=0.748) f1: (test=0.578) roc_auc: (test=0.871) 1.83min
[fit 41/150] END max_depth=40; total=4147, TP=100, TN=3903, FP=47, FN=97; precision=0.680, recall=0.508
accuracy: (test=0.965) average_precision: (test=0.592) balanced_accuracy: (test=0.748) f1: (test=0.581) roc_auc: (test=0.868) 1.79min
[fit 42/150] END max_depth=41; total=4147, TP=97, TN=3902, FP=48, FN=100; precision=0.669, recall=0.492
accuracy: (test=0.964) average_precision: (test=0.584) balanced_accuracy: (test=0.740) f1: (test=0.567) roc_auc: (test=0.868) 1.80min
[fit 43/150] END max_depth=42; total=4147, TP=96, TN=3906, FP=44, FN=101; precision=0.686, recall=0.487
accuracy: (test=0.965) average_precision: (test=0.593) balanced_accuracy: (test=0.738) f1: (test=0.570) roc_auc: (test=0.878) 1.79min
[fit 44/150] END max_depth=43; total=4147, TP=99, TN=3906, FP=44, FN=98; precision=0.692, recall=0.503
accuracy: (test=0.966) average_precision: (test=0.582) balanced_accuracy: (test=0.746) f1: (test=0.582) roc_auc: (test=0.867) 1.82min
[fit 45/150] END max_depth=44; total=4147, TP=100, TN=3909, FP=41, FN=97; precision=0.709, recall=0.508
accuracy: (test=0.967) average_precision: (test=0.592) balanced_accuracy: (test=0.749) f1: (test=0.592) roc_auc: (test=0.869) 1.83min
[fit 46/150] END max_depth=45; total=4147, TP=98, TN=3906, FP=44, FN=99; precision=0.690, recall=0.497
accuracy: (test=0.966) average_precision: (test=0.589) balanced_accuracy: (test=0.743) f1: (test=0.578) roc_auc: (test=0.869) 1.76min
[fit 47/150] END max_depth=46; total=4147, TP=98, TN=3904, FP=46, FN=99; precision=0.681, recall=0.497
accuracy: (test=0.965) average_precision: (test=0.588) balanced_accuracy: (test=0.743) f1: (test=0.575) roc_auc: (test=0.867) 1.76min
[fit 48/150] END max_depth=47; total=4147, TP=100, TN=3900, FP=50, FN=97; precision=0.667, recall=0.508
accuracy: (test=0.965) average_precision: (test=0.586) balanced_accuracy: (test=0.747) f1: (test=0.576) roc_auc: (test=0.863) 1.69min
[fit 49/150] END max_depth=48; total=4147, TP=99, TN=3901, FP=49, FN=98; precision=0.669, recall=0.503
accuracy: (test=0.965) average_precision: (test=0.591) balanced_accuracy: (test=0.745) f1: (test=0.574) roc_auc: (test=0.864) 1.65min
[fit 50/150] END max_depth=49; total=4147, TP=100, TN=3904, FP=46, FN=97; precision=0.685, recall=0.508
accuracy: (test=0.966) average_precision: (test=0.592) balanced_accuracy: (test=0.748) f1: (test=0.583) roc_auc: (test=0.872) 1.58min
[fit 51/150] END max_depth=50; total=4147, TP=99, TN=3904, FP=46, FN=98; precision=0.683, recall=0.503
accuracy: (test=0.965) average_precision: (test=0.588) balanced_accuracy: (test=0.745) f1: (test=0.579) roc_auc: (test=0.866) 1.56min
[fit 52/150] END max_depth=51; total=4147, TP=99, TN=3906, FP=44, FN=98; precision=0.692, recall=0.503
accuracy: (test=0.966) average_precision: (test=0.592) balanced_accuracy: (test=0.746) f1: (test=0.582) roc_auc: (test=0.870) 1.77min
[fit 53/150] END max_depth=52; total=4147, TP=98, TN=3904, FP=46, FN=99; precision=0.681, recall=0.497
accuracy: (test=0.965) average_precision: (test=0.589) balanced_accuracy: (test=0.743) f1: (test=0.575) roc_auc: (test=0.866) 1.76min
[fit 54/150] END max_depth=53; total=4147, TP=101, TN=3906, FP=44, FN=96; precision=0.697, recall=0.513
accuracy: (test=0.966) average_precision: (test=0.588) balanced_accuracy: (test=0.751) f1: (test=0.591) roc_auc: (test=0.865) 1.95min
[fit 55/150] END max_depth=54; total=4147, TP=98, TN=3902, FP=48, FN=99; precision=0.671, recall=0.497
accuracy: (test=0.965) average_precision: (test=0.592) balanced_accuracy: (test=0.743) f1: (test=0.571) roc_auc: (test=0.868) 2.06min
