nohup: ignoring input
experiment: HUVEC dpcp_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.883) average_precision: (test=0.321) balanced_accuracy: (test=0.720) f1: (test=0.305) roc_auc: (test=0.792) 1.12min
[fit 16/150] END max_depth=15; total=3192, TP=76, TN=2783, FP=257, FN=76; precision=0.228, recall=0.500
accuracy: (test=0.896) average_precision: (test=0.336) balanced_accuracy: (test=0.708) f1: (test=0.313) roc_auc: (test=0.798) 1.17min
[fit 17/150] END max_depth=16; total=3192, TP=79, TN=2818, FP=222, FN=73; precision=0.262, recall=0.520
accuracy: (test=0.908) average_precision: (test=0.348) balanced_accuracy: (test=0.723) f1: (test=0.349) roc_auc: (test=0.803) 1.20min
[fit 18/150] END max_depth=17; total=3192, TP=79, TN=2866, FP=174, FN=73; precision=0.312, recall=0.520
accuracy: (test=0.923) average_precision: (test=0.373) balanced_accuracy: (test=0.731) f1: (test=0.390) roc_auc: (test=0.806) 1.26min
[fit 19/150] END max_depth=18; total=3192, TP=73, TN=2883, FP=157, FN=79; precision=0.317, recall=0.480
accuracy: (test=0.926) average_precision: (test=0.393) balanced_accuracy: (test=0.714) f1: (test=0.382) roc_auc: (test=0.814) 1.28min
[fit 20/150] END max_depth=19; total=3192, TP=72, TN=2900, FP=140, FN=80; precision=0.340, recall=0.474
accuracy: (test=0.931) average_precision: (test=0.407) balanced_accuracy: (test=0.714) f1: (test=0.396) roc_auc: (test=0.810) 1.32min
[fit 21/150] END max_depth=20; total=3192, TP=69, TN=2921, FP=119, FN=83; precision=0.367, recall=0.454
accuracy: (test=0.937) average_precision: (test=0.411) balanced_accuracy: (test=0.707) f1: (test=0.406) roc_auc: (test=0.820) 1.41min
[fit 22/150] END max_depth=21; total=3192, TP=70, TN=2928, FP=112, FN=82; precision=0.385, recall=0.461
accuracy: (test=0.939) average_precision: (test=0.421) balanced_accuracy: (test=0.712) f1: (test=0.419) roc_auc: (test=0.823) 1.41min
[fit 23/150] END max_depth=22; total=3192, TP=71, TN=2942, FP=98, FN=81; precision=0.420, recall=0.467
accuracy: (test=0.944) average_precision: (test=0.426) balanced_accuracy: (test=0.717) f1: (test=0.442) roc_auc: (test=0.823) 1.43min
[fit 24/150] END max_depth=23; total=3192, TP=70, TN=2947, FP=93, FN=82; precision=0.429, recall=0.461
accuracy: (test=0.945) average_precision: (test=0.431) balanced_accuracy: (test=0.715) f1: (test=0.444) roc_auc: (test=0.822) 1.43min
[fit 25/150] END max_depth=24; total=3192, TP=69, TN=2955, FP=85, FN=83; precision=0.448, recall=0.454
accuracy: (test=0.947) average_precision: (test=0.446) balanced_accuracy: (test=0.713) f1: (test=0.451) roc_auc: (test=0.831) 1.46min
[fit 26/150] END max_depth=25; total=3192, TP=68, TN=2955, FP=85, FN=84; precision=0.444, recall=0.447
accuracy: (test=0.947) average_precision: (test=0.446) balanced_accuracy: (test=0.710) f1: (test=0.446) roc_auc: (test=0.834) 1.47min
[fit 27/150] END max_depth=26; total=3192, TP=67, TN=2959, FP=81, FN=85; precision=0.453, recall=0.441
accuracy: (test=0.948) average_precision: (test=0.441) balanced_accuracy: (test=0.707) f1: (test=0.447) roc_auc: (test=0.828) 1.60min
[fit 28/150] END max_depth=27; total=3192, TP=67, TN=2965, FP=75, FN=85; precision=0.472, recall=0.441
accuracy: (test=0.950) average_precision: (test=0.457) balanced_accuracy: (test=0.708) f1: (test=0.456) roc_auc: (test=0.837) 1.62min
[fit 29/150] END max_depth=28; total=3192, TP=67, TN=2961, FP=79, FN=85; precision=0.459, recall=0.441
accuracy: (test=0.949) average_precision: (test=0.450) balanced_accuracy: (test=0.707) f1: (test=0.450) roc_auc: (test=0.834) 1.61min
