nohup: ignoring input
experiment: HeLa-S3 dpcp_rf
trainSet len:[X=62640,y=62640]
testSet len:[X=3654,y=3654]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.971) average_precision: (test=0.665) balanced_accuracy: (test=0.824) f1: (test=0.685) roc_auc: (test=0.902) 24.94s
[fit 28/150] END max_depth=27; total=3654, TP=110, TN=3431, FP=49, FN=64; precision=0.692, recall=0.632
accuracy: (test=0.969) average_precision: (test=0.659) balanced_accuracy: (test=0.809) f1: (test=0.661) roc_auc: (test=0.891) 24.88s
[fit 29/150] END max_depth=28; total=3654, TP=112, TN=3430, FP=50, FN=62; precision=0.691, recall=0.644
accuracy: (test=0.969) average_precision: (test=0.681) balanced_accuracy: (test=0.815) f1: (test=0.667) roc_auc: (test=0.912) 25.16s
[fit 30/150] END max_depth=29; total=3654, TP=113, TN=3434, FP=46, FN=61; precision=0.711, recall=0.649
accuracy: (test=0.971) average_precision: (test=0.668) balanced_accuracy: (test=0.818) f1: (test=0.679) roc_auc: (test=0.904) 24.31s
[fit 31/150] END max_depth=30; total=3654, TP=113, TN=3438, FP=42, FN=61; precision=0.729, recall=0.649
accuracy: (test=0.972) average_precision: (test=0.685) balanced_accuracy: (test=0.819) f1: (test=0.687) roc_auc: (test=0.905) 24.99s
[fit 32/150] END max_depth=31; total=3654, TP=114, TN=3436, FP=44, FN=60; precision=0.722, recall=0.655
accuracy: (test=0.972) average_precision: (test=0.670) balanced_accuracy: (test=0.821) f1: (test=0.687) roc_auc: (test=0.906) 26.06s
[fit 33/150] END max_depth=32; total=3654, TP=112, TN=3445, FP=35, FN=62; precision=0.762, recall=0.644
