nohup: ignoring input
experiment: HUVEC pseknc_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.963) average_precision: (test=0.563) balanced_accuracy: (test=0.706) f1: (test=0.522) roc_auc: (test=0.895) 3.92min
[fit 32/34] END n_estimators=320; total=3192, TP=61, TN=3010, FP=30, FN=91; precision=0.670, recall=0.401
accuracy: (test=0.962) average_precision: (test=0.566) balanced_accuracy: (test=0.696) f1: (test=0.502) roc_auc: (test=0.897) 4.13min
[fit 33/34] END n_estimators=330; total=3192, TP=64, TN=3013, FP=27, FN=88; precision=0.703, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.706) f1: (test=0.527) roc_auc: (test=0.888) 4.22min
[fit 34/34] END n_estimators=340; total=3192, TP=65, TN=3013, FP=27, FN=87; precision=0.707, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.709) f1: (test=0.533) roc_auc: (test=0.897) 4.33min
clf.best_estimator_params: {'n_estimators': 230}
best params found in line [24] for metric [roc_auc] in rank file
best params found in fit [23] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3192) TP: (test=64.000) TN: (test=3012.000) FP: (test=28.000) FN: (test=88.000) precision: (test=0.696) recall: (test=0.421) accuracy: (test=0.964) average_precision: (test=0.580) balanced_accuracy: (test=0.706) f1: (test=0.525) roc_auc: (test=0.899) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 230, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.561) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.887) 2.92min
[fit 2/150] END max_depth=1; total=3192, TP=89, TN=1699, FP=1341, FN=63; precision=0.062, recall=0.586
accuracy: (test=0.560) average_precision: (test=0.066) balanced_accuracy: (test=0.572) f1: (test=0.113) roc_auc: (test=0.600) 14.41s
[fit 3/150] END max_depth=2; total=3192, TP=89, TN=1708, FP=1332, FN=63; precision=0.063, recall=0.586
accuracy: (test=0.563) average_precision: (test=0.103) balanced_accuracy: (test=0.574) f1: (test=0.113) roc_auc: (test=0.626) 28.23s
[fit 4/150] END max_depth=3; total=3192, TP=89, TN=1779, FP=1261, FN=63; precision=0.066, recall=0.586
accuracy: (test=0.585) average_precision: (test=0.121) balanced_accuracy: (test=0.585) f1: (test=0.119) roc_auc: (test=0.641) 40.93s
[fit 5/150] END max_depth=4; total=3192, TP=87, TN=1919, FP=1121, FN=65; precision=0.072, recall=0.572
accuracy: (test=0.628) average_precision: (test=0.150) balanced_accuracy: (test=0.602) f1: (test=0.128) roc_auc: (test=0.664) 53.68s
[fit 6/150] END max_depth=5; total=3192, TP=83, TN=2058, FP=982, FN=69; precision=0.078, recall=0.546
accuracy: (test=0.671) average_precision: (test=0.192) balanced_accuracy: (test=0.612) f1: (test=0.136) roc_auc: (test=0.683) 1.07min
[fit 7/150] END max_depth=6; total=3192, TP=78, TN=2254, FP=786, FN=74; precision=0.090, recall=0.513
accuracy: (test=0.731) average_precision: (test=0.224) balanced_accuracy: (test=0.627) f1: (test=0.154) roc_auc: (test=0.708) 1.25min
[fit 8/150] END max_depth=7; total=3192, TP=77, TN=2434, FP=606, FN=75; precision=0.113, recall=0.507
accuracy: (test=0.787) average_precision: (test=0.279) balanced_accuracy: (test=0.654) f1: (test=0.184) roc_auc: (test=0.736) 1.42min
[fit 9/150] END max_depth=8; total=3192, TP=80, TN=2624, FP=416, FN=72; precision=0.161, recall=0.526
accuracy: (test=0.847) average_precision: (test=0.306) balanced_accuracy: (test=0.695) f1: (test=0.247) roc_auc: (test=0.762) 1.58min
[fit 10/150] END max_depth=9; total=3192, TP=78, TN=2774, FP=266, FN=74; precision=0.227, recall=0.513
accuracy: (test=0.893) average_precision: (test=0.349) balanced_accuracy: (test=0.713) f1: (test=0.315) roc_auc: (test=0.781) 1.74min
[fit 11/150] END max_depth=10; total=3192, TP=76, TN=2865, FP=175, FN=76; precision=0.303, recall=0.500
accuracy: (test=0.921) average_precision: (test=0.372) balanced_accuracy: (test=0.721) f1: (test=0.377) roc_auc: (test=0.806) 1.85min
[fit 12/150] END max_depth=11; total=3192, TP=78, TN=2925, FP=115, FN=74; precision=0.404, recall=0.513
accuracy: (test=0.941) average_precision: (test=0.419) balanced_accuracy: (test=0.738) f1: (test=0.452) roc_auc: (test=0.823) 2.00min
[fit 13/150] END max_depth=12; total=3192, TP=74, TN=2959, FP=81, FN=78; precision=0.477, recall=0.487
accuracy: (test=0.950) average_precision: (test=0.453) balanced_accuracy: (test=0.730) f1: (test=0.482) roc_auc: (test=0.850) 2.14min
[fit 14/150] END max_depth=13; total=3192, TP=75, TN=2977, FP=63, FN=77; precision=0.543, recall=0.493
accuracy: (test=0.956) average_precision: (test=0.479) balanced_accuracy: (test=0.736) f1: (test=0.517) roc_auc: (test=0.859) 2.25min
[fit 15/150] END max_depth=14; total=3192, TP=76, TN=2991, FP=49, FN=76; precision=0.608, recall=0.500
accuracy: (test=0.961) average_precision: (test=0.511) balanced_accuracy: (test=0.742) f1: (test=0.549) roc_auc: (test=0.871) 2.29min
[fit 16/150] END max_depth=15; total=3192, TP=75, TN=2994, FP=46, FN=77; precision=0.620, recall=0.493
accuracy: (test=0.961) average_precision: (test=0.522) balanced_accuracy: (test=0.739) f1: (test=0.549) roc_auc: (test=0.879) 2.42min
[fit 17/150] END max_depth=16; total=3192, TP=69, TN=2995, FP=45, FN=83; precision=0.605, recall=0.454
accuracy: (test=0.960) average_precision: (test=0.533) balanced_accuracy: (test=0.720) f1: (test=0.519) roc_auc: (test=0.879) 2.48min
[fit 18/150] END max_depth=17; total=3192, TP=71, TN=2997, FP=43, FN=81; precision=0.623, recall=0.467
accuracy: (test=0.961) average_precision: (test=0.538) balanced_accuracy: (test=0.726) f1: (test=0.534) roc_auc: (test=0.880) 2.52min
[fit 19/150] END max_depth=18; total=3192, TP=73, TN=3001, FP=39, FN=79; precision=0.652, recall=0.480
accuracy: (test=0.963) average_precision: (test=0.543) balanced_accuracy: (test=0.734) f1: (test=0.553) roc_auc: (test=0.881) 2.62min
[fit 20/150] END max_depth=19; total=3192, TP=70, TN=3004, FP=36, FN=82; precision=0.660, recall=0.461
accuracy: (test=0.963) average_precision: (test=0.554) balanced_accuracy: (test=0.724) f1: (test=0.543) roc_auc: (test=0.886) 2.61min
[fit 21/150] END max_depth=20; total=3192, TP=74, TN=3007, FP=33, FN=78; precision=0.692, recall=0.487
accuracy: (test=0.965) average_precision: (test=0.566) balanced_accuracy: (test=0.738) f1: (test=0.571) roc_auc: (test=0.892) 2.74min
[fit 22/150] END max_depth=21; total=3192, TP=70, TN=3004, FP=36, FN=82; precision=0.660, recall=0.461
accuracy: (test=0.963) average_precision: (test=0.560) balanced_accuracy: (test=0.724) f1: (test=0.543) roc_auc: (test=0.897) 2.77min
[fit 23/150] END max_depth=22; total=3192, TP=70, TN=3004, FP=36, FN=82; precision=0.660, recall=0.461
accuracy: (test=0.963) average_precision: (test=0.561) balanced_accuracy: (test=0.724) f1: (test=0.543) roc_auc: (test=0.886) 2.80min
[fit 24/150] END max_depth=23; total=3192, TP=68, TN=3005, FP=35, FN=84; precision=0.660, recall=0.447
accuracy: (test=0.963) average_precision: (test=0.559) balanced_accuracy: (test=0.718) f1: (test=0.533) roc_auc: (test=0.895) 2.77min
[fit 25/150] END max_depth=24; total=3192, TP=70, TN=3005, FP=35, FN=82; precision=0.667, recall=0.461
accuracy: (test=0.963) average_precision: (test=0.557) balanced_accuracy: (test=0.725) f1: (test=0.545) roc_auc: (test=0.887) 2.82min
[fit 26/150] END max_depth=25; total=3192, TP=72, TN=3010, FP=30, FN=80; precision=0.706, recall=0.474
accuracy: (test=0.966) average_precision: (test=0.570) balanced_accuracy: (test=0.732) f1: (test=0.567) roc_auc: (test=0.896) 2.84min
[fit 27/150] END max_depth=26; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.575) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.898) 2.83min
[fit 28/150] END max_depth=27; total=3192, TP=67, TN=3006, FP=34, FN=85; precision=0.663, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.560) balanced_accuracy: (test=0.715) f1: (test=0.530) roc_auc: (test=0.892) 2.85min
[fit 29/150] END max_depth=28; total=3192, TP=67, TN=3006, FP=34, FN=85; precision=0.663, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.567) balanced_accuracy: (test=0.715) f1: (test=0.530) roc_auc: (test=0.893) 2.89min
[fit 30/150] END max_depth=29; total=3192, TP=68, TN=3007, FP=33, FN=84; precision=0.673, recall=0.447
accuracy: (test=0.963) average_precision: (test=0.570) balanced_accuracy: (test=0.718) f1: (test=0.538) roc_auc: (test=0.886) 2.91min
[fit 31/150] END max_depth=30; total=3192, TP=68, TN=3009, FP=31, FN=84; precision=0.687, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.566) balanced_accuracy: (test=0.719) f1: (test=0.542) roc_auc: (test=0.893) 2.87min
[fit 32/150] END max_depth=31; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.570) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.893) 2.89min
[fit 33/150] END max_depth=32; total=3192, TP=65, TN=3011, FP=29, FN=87; precision=0.691, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.709) f1: (test=0.528) roc_auc: (test=0.884) 2.89min
[fit 34/150] END max_depth=33; total=3192, TP=64, TN=3012, FP=28, FN=88; precision=0.696, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.706) f1: (test=0.525) roc_auc: (test=0.890) 2.91min
[fit 35/150] END max_depth=34; total=3192, TP=71, TN=3013, FP=27, FN=81; precision=0.724, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.569) balanced_accuracy: (test=0.729) f1: (test=0.568) roc_auc: (test=0.891) 2.91min
