nohup: ignoring input
experiment: IMR90 pseknc_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.965) average_precision: (test=0.664) balanced_accuracy: (test=0.761) f1: (test=0.596) roc_auc: (test=0.900) 2.32min
[fit 18/150] END max_depth=17; total=2625, TP=71, TN=2473, FP=27, FN=54; precision=0.724, recall=0.568
accuracy: (test=0.969) average_precision: (test=0.675) balanced_accuracy: (test=0.779) f1: (test=0.637) roc_auc: (test=0.907) 2.39min
[fit 19/150] END max_depth=18; total=2625, TP=70, TN=2473, FP=27, FN=55; precision=0.722, recall=0.560
accuracy: (test=0.969) average_precision: (test=0.682) balanced_accuracy: (test=0.775) f1: (test=0.631) roc_auc: (test=0.909) 2.47min
[fit 20/150] END max_depth=19; total=2625, TP=70, TN=2475, FP=25, FN=55; precision=0.737, recall=0.560
accuracy: (test=0.970) average_precision: (test=0.684) balanced_accuracy: (test=0.775) f1: (test=0.636) roc_auc: (test=0.911) 2.51min
[fit 21/150] END max_depth=20; total=2625, TP=71, TN=2474, FP=26, FN=54; precision=0.732, recall=0.568
accuracy: (test=0.970) average_precision: (test=0.683) balanced_accuracy: (test=0.779) f1: (test=0.640) roc_auc: (test=0.911) 2.57min
[fit 22/150] END max_depth=21; total=2625, TP=68, TN=2481, FP=19, FN=57; precision=0.782, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.692) balanced_accuracy: (test=0.768) f1: (test=0.642) roc_auc: (test=0.916) 2.62min
[fit 23/150] END max_depth=22; total=2625, TP=70, TN=2475, FP=25, FN=55; precision=0.737, recall=0.560
accuracy: (test=0.970) average_precision: (test=0.685) balanced_accuracy: (test=0.775) f1: (test=0.636) roc_auc: (test=0.914) 2.64min
[fit 24/150] END max_depth=23; total=2625, TP=70, TN=2482, FP=18, FN=55; precision=0.795, recall=0.560
accuracy: (test=0.972) average_precision: (test=0.689) balanced_accuracy: (test=0.776) f1: (test=0.657) roc_auc: (test=0.907) 2.66min
[fit 25/150] END max_depth=24; total=2625, TP=70, TN=2480, FP=20, FN=55; precision=0.778, recall=0.560
accuracy: (test=0.971) average_precision: (test=0.688) balanced_accuracy: (test=0.776) f1: (test=0.651) roc_auc: (test=0.909) 2.70min
[fit 26/150] END max_depth=25; total=2625, TP=68, TN=2481, FP=19, FN=57; precision=0.782, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.695) balanced_accuracy: (test=0.768) f1: (test=0.642) roc_auc: (test=0.918) 2.70min
[fit 27/150] END max_depth=26; total=2625, TP=73, TN=2481, FP=19, FN=52; precision=0.793, recall=0.584
accuracy: (test=0.973) average_precision: (test=0.694) balanced_accuracy: (test=0.788) f1: (test=0.673) roc_auc: (test=0.908) 2.71min
[fit 28/150] END max_depth=27; total=2625, TP=69, TN=2485, FP=15, FN=56; precision=0.821, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.694) balanced_accuracy: (test=0.773) f1: (test=0.660) roc_auc: (test=0.904) 2.76min
[fit 29/150] END max_depth=28; total=2625, TP=71, TN=2482, FP=18, FN=54; precision=0.798, recall=0.568
accuracy: (test=0.973) average_precision: (test=0.700) balanced_accuracy: (test=0.780) f1: (test=0.664) roc_auc: (test=0.926) 2.73min
[fit 30/150] END max_depth=29; total=2625, TP=68, TN=2482, FP=18, FN=57; precision=0.791, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.687) balanced_accuracy: (test=0.768) f1: (test=0.645) roc_auc: (test=0.913) 2.73min
[fit 31/150] END max_depth=30; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.700) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.918) 2.76min
[fit 32/150] END max_depth=31; total=2625, TP=68, TN=2483, FP=17, FN=57; precision=0.800, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.694) balanced_accuracy: (test=0.769) f1: (test=0.648) roc_auc: (test=0.911) 2.77min
[fit 33/150] END max_depth=32; total=2625, TP=68, TN=2483, FP=17, FN=57; precision=0.800, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.692) balanced_accuracy: (test=0.769) f1: (test=0.648) roc_auc: (test=0.912) 2.76min
[fit 34/150] END max_depth=33; total=2625, TP=69, TN=2482, FP=18, FN=56; precision=0.793, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.699) balanced_accuracy: (test=0.772) f1: (test=0.651) roc_auc: (test=0.911) 2.79min
[fit 35/150] END max_depth=34; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.699) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.908) 2.76min
