nohup: ignoring input
experiment: HUVEC cksnap_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.960) average_precision: (test=0.502) balanced_accuracy: (test=0.698) f1: (test=0.490) roc_auc: (test=0.850) 1.18min
clf.best_estimator_params: {'n_estimators': 270}
best params found in line [28] for metric [roc_auc] in rank file
best params found in fit [27] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3192) TP: (test=63.000) TN: (test=2994.000) FP: (test=46.000) FN: (test=89.000) precision: (test=0.578) recall: (test=0.414) accuracy: (test=0.958) average_precision: (test=0.499) balanced_accuracy: (test=0.700) f1: (test=0.483) roc_auc: (test=0.854) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 270, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=3192, TP=66, TN=2998, FP=42, FN=86; precision=0.611, recall=0.434
accuracy: (test=0.960) average_precision: (test=0.499) balanced_accuracy: (test=0.710) f1: (test=0.508) roc_auc: (test=0.835) 57.61s
[fit 2/150] END max_depth=1; total=3192, TP=97, TN=1387, FP=1653, FN=55; precision=0.055, recall=0.638
accuracy: (test=0.465) average_precision: (test=0.062) balanced_accuracy: (test=0.547) f1: (test=0.102) roc_auc: (test=0.588) 6.19s
[fit 3/150] END max_depth=2; total=3192, TP=89, TN=1593, FP=1447, FN=63; precision=0.058, recall=0.586
accuracy: (test=0.527) average_precision: (test=0.066) balanced_accuracy: (test=0.555) f1: (test=0.105) roc_auc: (test=0.598) 8.79s
[fit 4/150] END max_depth=3; total=3192, TP=89, TN=1777, FP=1263, FN=63; precision=0.066, recall=0.586
accuracy: (test=0.585) average_precision: (test=0.080) balanced_accuracy: (test=0.585) f1: (test=0.118) roc_auc: (test=0.623) 14.21s
[fit 5/150] END max_depth=4; total=3192, TP=84, TN=1884, FP=1156, FN=68; precision=0.068, recall=0.553
accuracy: (test=0.617) average_precision: (test=0.096) balanced_accuracy: (test=0.586) f1: (test=0.121) roc_auc: (test=0.635) 16.96s
[fit 6/150] END max_depth=5; total=3192, TP=87, TN=1974, FP=1066, FN=65; precision=0.075, recall=0.572
accuracy: (test=0.646) average_precision: (test=0.121) balanced_accuracy: (test=0.611) f1: (test=0.133) roc_auc: (test=0.659) 20.01s
[fit 7/150] END max_depth=6; total=3192, TP=87, TN=2066, FP=974, FN=65; precision=0.082, recall=0.572
accuracy: (test=0.674) average_precision: (test=0.140) balanced_accuracy: (test=0.626) f1: (test=0.143) roc_auc: (test=0.675) 22.49s
[fit 8/150] END max_depth=7; total=3192, TP=84, TN=2164, FP=876, FN=68; precision=0.087, recall=0.553
