nohup: ignoring input
experiment: HUVEC eiip_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.608) average_precision: (test=0.128) balanced_accuracy: (test=0.582) f1: (test=0.118) roc_auc: (test=0.648) 41.54s
[fit 6/150] END max_depth=5; total=3192, TP=84, TN=1978, FP=1062, FN=68; precision=0.073, recall=0.553
accuracy: (test=0.646) average_precision: (test=0.152) balanced_accuracy: (test=0.602) f1: (test=0.129) roc_auc: (test=0.670) 50.19s
[fit 7/150] END max_depth=6; total=3192, TP=79, TN=2150, FP=890, FN=73; precision=0.082, recall=0.520
accuracy: (test=0.698) average_precision: (test=0.194) balanced_accuracy: (test=0.613) f1: (test=0.141) roc_auc: (test=0.698) 56.82s
[fit 8/150] END max_depth=7; total=3192, TP=82, TN=2327, FP=713, FN=70; precision=0.103, recall=0.539
accuracy: (test=0.755) average_precision: (test=0.244) balanced_accuracy: (test=0.652) f1: (test=0.173) roc_auc: (test=0.721) 1.04min
[fit 9/150] END max_depth=8; total=3192, TP=79, TN=2521, FP=519, FN=73; precision=0.132, recall=0.520
accuracy: (test=0.815) average_precision: (test=0.280) balanced_accuracy: (test=0.675) f1: (test=0.211) roc_auc: (test=0.741) 1.13min
[fit 10/150] END max_depth=9; total=3192, TP=76, TN=2722, FP=318, FN=76; precision=0.193, recall=0.500
accuracy: (test=0.877) average_precision: (test=0.324) balanced_accuracy: (test=0.698) f1: (test=0.278) roc_auc: (test=0.772) 1.22min
[fit 11/150] END max_depth=10; total=3192, TP=77, TN=2838, FP=202, FN=75; precision=0.276, recall=0.507
accuracy: (test=0.913) average_precision: (test=0.364) balanced_accuracy: (test=0.720) f1: (test=0.357) roc_auc: (test=0.798) 1.33min
[fit 12/150] END max_depth=11; total=3192, TP=77, TN=2921, FP=119, FN=75; precision=0.393, recall=0.507
accuracy: (test=0.939) average_precision: (test=0.398) balanced_accuracy: (test=0.734) f1: (test=0.443) roc_auc: (test=0.818) 1.42min
[fit 13/150] END max_depth=12; total=3192, TP=77, TN=2955, FP=85, FN=75; precision=0.475, recall=0.507
accuracy: (test=0.950) average_precision: (test=0.445) balanced_accuracy: (test=0.739) f1: (test=0.490) roc_auc: (test=0.835) 1.55min
[fit 14/150] END max_depth=13; total=3192, TP=77, TN=2975, FP=65, FN=75; precision=0.542, recall=0.507
accuracy: (test=0.956) average_precision: (test=0.476) balanced_accuracy: (test=0.743) f1: (test=0.524) roc_auc: (test=0.846) 1.61min
[fit 15/150] END max_depth=14; total=3192, TP=76, TN=2985, FP=55, FN=76; precision=0.580, recall=0.500
accuracy: (test=0.959) average_precision: (test=0.500) balanced_accuracy: (test=0.741) f1: (test=0.537) roc_auc: (test=0.864) 1.64min
[fit 16/150] END max_depth=15; total=3192, TP=75, TN=2994, FP=46, FN=77; precision=0.620, recall=0.493
accuracy: (test=0.961) average_precision: (test=0.516) balanced_accuracy: (test=0.739) f1: (test=0.549) roc_auc: (test=0.860) 1.73min
[fit 17/150] END max_depth=16; total=3192, TP=74, TN=3003, FP=37, FN=78; precision=0.667, recall=0.487
accuracy: (test=0.964) average_precision: (test=0.532) balanced_accuracy: (test=0.737) f1: (test=0.563) roc_auc: (test=0.869) 1.78min
[fit 18/150] END max_depth=17; total=3192, TP=75, TN=3002, FP=38, FN=77; precision=0.664, recall=0.493
accuracy: (test=0.964) average_precision: (test=0.538) balanced_accuracy: (test=0.740) f1: (test=0.566) roc_auc: (test=0.874) 1.81min
[fit 19/150] END max_depth=18; total=3192, TP=73, TN=3003, FP=37, FN=79; precision=0.664, recall=0.480
accuracy: (test=0.964) average_precision: (test=0.549) balanced_accuracy: (test=0.734) f1: (test=0.557) roc_auc: (test=0.880) 1.92min
[fit 20/150] END max_depth=19; total=3192, TP=74, TN=3006, FP=34, FN=78; precision=0.685, recall=0.487
accuracy: (test=0.965) average_precision: (test=0.545) balanced_accuracy: (test=0.738) f1: (test=0.569) roc_auc: (test=0.872) 1.81min
[fit 21/150] END max_depth=20; total=3192, TP=74, TN=3004, FP=36, FN=78; precision=0.673, recall=0.487
accuracy: (test=0.964) average_precision: (test=0.556) balanced_accuracy: (test=0.738) f1: (test=0.565) roc_auc: (test=0.886) 1.93min
[fit 22/150] END max_depth=21; total=3192, TP=71, TN=3001, FP=39, FN=81; precision=0.645, recall=0.467
accuracy: (test=0.962) average_precision: (test=0.560) balanced_accuracy: (test=0.727) f1: (test=0.542) roc_auc: (test=0.880) 1.93min
[fit 23/150] END max_depth=22; total=3192, TP=72, TN=3010, FP=30, FN=80; precision=0.706, recall=0.474
accuracy: (test=0.966) average_precision: (test=0.559) balanced_accuracy: (test=0.732) f1: (test=0.567) roc_auc: (test=0.879) 2.00min
[fit 24/150] END max_depth=23; total=3192, TP=72, TN=3008, FP=32, FN=80; precision=0.692, recall=0.474
accuracy: (test=0.965) average_precision: (test=0.557) balanced_accuracy: (test=0.732) f1: (test=0.562) roc_auc: (test=0.887) 2.01min
[fit 25/150] END max_depth=24; total=3192, TP=73, TN=3006, FP=34, FN=79; precision=0.682, recall=0.480
accuracy: (test=0.965) average_precision: (test=0.570) balanced_accuracy: (test=0.735) f1: (test=0.564) roc_auc: (test=0.891) 1.98min
[fit 26/150] END max_depth=25; total=3192, TP=73, TN=3009, FP=31, FN=79; precision=0.702, recall=0.480
accuracy: (test=0.966) average_precision: (test=0.568) balanced_accuracy: (test=0.735) f1: (test=0.570) roc_auc: (test=0.893) 2.01min
[fit 27/150] END max_depth=26; total=3192, TP=73, TN=3009, FP=31, FN=79; precision=0.702, recall=0.480
accuracy: (test=0.966) average_precision: (test=0.563) balanced_accuracy: (test=0.735) f1: (test=0.570) roc_auc: (test=0.880) 2.02min
[fit 28/150] END max_depth=27; total=3192, TP=72, TN=3010, FP=30, FN=80; precision=0.706, recall=0.474
accuracy: (test=0.966) average_precision: (test=0.569) balanced_accuracy: (test=0.732) f1: (test=0.567) roc_auc: (test=0.878) 2.03min
[fit 29/150] END max_depth=28; total=3192, TP=71, TN=3013, FP=27, FN=81; precision=0.724, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.585) balanced_accuracy: (test=0.729) f1: (test=0.568) roc_auc: (test=0.901) 2.02min
[fit 30/150] END max_depth=29; total=3192, TP=71, TN=3012, FP=28, FN=81; precision=0.717, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.572) balanced_accuracy: (test=0.729) f1: (test=0.566) roc_auc: (test=0.884) 2.02min
[fit 31/150] END max_depth=30; total=3192, TP=71, TN=3009, FP=31, FN=81; precision=0.696, recall=0.467
accuracy: (test=0.965) average_precision: (test=0.572) balanced_accuracy: (test=0.728) f1: (test=0.559) roc_auc: (test=0.893) 2.05min
[fit 32/150] END max_depth=31; total=3192, TP=71, TN=3011, FP=29, FN=81; precision=0.710, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.579) balanced_accuracy: (test=0.729) f1: (test=0.563) roc_auc: (test=0.887) 2.01min
[fit 33/150] END max_depth=32; total=3192, TP=70, TN=3012, FP=28, FN=82; precision=0.714, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.575) balanced_accuracy: (test=0.726) f1: (test=0.560) roc_auc: (test=0.888) 2.01min
[fit 34/150] END max_depth=33; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.578) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.890) 1.98min
[fit 35/150] END max_depth=34; total=3192, TP=72, TN=3008, FP=32, FN=80; precision=0.692, recall=0.474
accuracy: (test=0.965) average_precision: (test=0.577) balanced_accuracy: (test=0.732) f1: (test=0.562) roc_auc: (test=0.891) 2.05min
[fit 36/150] END max_depth=35; total=3192, TP=70, TN=3013, FP=27, FN=82; precision=0.722, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.576) balanced_accuracy: (test=0.726) f1: (test=0.562) roc_auc: (test=0.888) 2.02min
[fit 37/150] END max_depth=36; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.884) 1.99min
[fit 38/150] END max_depth=37; total=3192, TP=71, TN=3009, FP=31, FN=81; precision=0.696, recall=0.467
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.728) f1: (test=0.559) roc_auc: (test=0.882) 2.02min
[fit 39/150] END max_depth=38; total=3192, TP=72, TN=3012, FP=28, FN=80; precision=0.720, recall=0.474
accuracy: (test=0.966) average_precision: (test=0.574) balanced_accuracy: (test=0.732) f1: (test=0.571) roc_auc: (test=0.891) 2.02min
[fit 40/150] END max_depth=39; total=3192, TP=70, TN=3013, FP=27, FN=82; precision=0.722, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.572) balanced_accuracy: (test=0.726) f1: (test=0.562) roc_auc: (test=0.890) 2.01min
[fit 41/150] END max_depth=40; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.884) 1.99min
[fit 42/150] END max_depth=41; total=3192, TP=71, TN=3010, FP=30, FN=81; precision=0.703, recall=0.467
accuracy: (test=0.965) average_precision: (test=0.581) balanced_accuracy: (test=0.729) f1: (test=0.561) roc_auc: (test=0.892) 1.99min
[fit 43/150] END max_depth=42; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.885) 2.03min
[fit 44/150] END max_depth=43; total=3192, TP=70, TN=3010, FP=30, FN=82; precision=0.700, recall=0.461
