nohup: ignoring input
experiment: IMR90 pseknc-new_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 13/150] END max_depth=12; total=2625, TP=74, TN=2455, FP=45, FN=51; precision=0.622, recall=0.592
accuracy: (test=0.963) average_precision: (test=0.617) balanced_accuracy: (test=0.787) f1: (test=0.607) roc_auc: (test=0.882) 15.69s
[fit 14/150] END max_depth=13; total=2625, TP=73, TN=2461, FP=39, FN=52; precision=0.652, recall=0.584
accuracy: (test=0.965) average_precision: (test=0.631) balanced_accuracy: (test=0.784) f1: (test=0.616) roc_auc: (test=0.892) 16.82s
[fit 15/150] END max_depth=14; total=2625, TP=70, TN=2469, FP=31, FN=55; precision=0.693, recall=0.560
accuracy: (test=0.967) average_precision: (test=0.643) balanced_accuracy: (test=0.774) f1: (test=0.619) roc_auc: (test=0.881) 18.16s
[fit 16/150] END max_depth=15; total=2625, TP=70, TN=2469, FP=31, FN=55; precision=0.693, recall=0.560
accuracy: (test=0.967) average_precision: (test=0.647) balanced_accuracy: (test=0.774) f1: (test=0.619) roc_auc: (test=0.879) 18.05s
[fit 17/150] END max_depth=16; total=2625, TP=69, TN=2472, FP=28, FN=56; precision=0.711, recall=0.552
accuracy: (test=0.968) average_precision: (test=0.672) balanced_accuracy: (test=0.770) f1: (test=0.622) roc_auc: (test=0.910) 18.70s
[fit 18/150] END max_depth=17; total=2625, TP=71, TN=2473, FP=27, FN=54; precision=0.724, recall=0.568
accuracy: (test=0.969) average_precision: (test=0.671) balanced_accuracy: (test=0.779) f1: (test=0.637) roc_auc: (test=0.904) 19.44s
[fit 19/150] END max_depth=18; total=2625, TP=68, TN=2475, FP=25, FN=57; precision=0.731, recall=0.544
accuracy: (test=0.969) average_precision: (test=0.672) balanced_accuracy: (test=0.767) f1: (test=0.624) roc_auc: (test=0.905) 18.92s
[fit 20/150] END max_depth=19; total=2625, TP=72, TN=2470, FP=30, FN=53; precision=0.706, recall=0.576
accuracy: (test=0.968) average_precision: (test=0.667) balanced_accuracy: (test=0.782) f1: (test=0.634) roc_auc: (test=0.909) 19.86s
[fit 21/150] END max_depth=20; total=2625, TP=70, TN=2477, FP=23, FN=55; precision=0.753, recall=0.560
accuracy: (test=0.970) average_precision: (test=0.682) balanced_accuracy: (test=0.775) f1: (test=0.642) roc_auc: (test=0.899) 20.78s
[fit 22/150] END max_depth=21; total=2625, TP=70, TN=2477, FP=23, FN=55; precision=0.753, recall=0.560
accuracy: (test=0.970) average_precision: (test=0.681) balanced_accuracy: (test=0.775) f1: (test=0.642) roc_auc: (test=0.897) 20.50s
[fit 23/150] END max_depth=22; total=2625, TP=70, TN=2481, FP=19, FN=55; precision=0.787, recall=0.560
accuracy: (test=0.972) average_precision: (test=0.684) balanced_accuracy: (test=0.776) f1: (test=0.654) roc_auc: (test=0.905) 20.58s
[fit 24/150] END max_depth=23; total=2625, TP=68, TN=2480, FP=20, FN=57; precision=0.773, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.685) balanced_accuracy: (test=0.768) f1: (test=0.638) roc_auc: (test=0.898) 21.42s
[fit 25/150] END max_depth=24; total=2625, TP=64, TN=2482, FP=18, FN=61; precision=0.780, recall=0.512
accuracy: (test=0.970) average_precision: (test=0.678) balanced_accuracy: (test=0.752) f1: (test=0.618) roc_auc: (test=0.895) 21.35s
[fit 26/150] END max_depth=25; total=2625, TP=68, TN=2482, FP=18, FN=57; precision=0.791, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.693) balanced_accuracy: (test=0.768) f1: (test=0.645) roc_auc: (test=0.917) 21.18s
[fit 27/150] END max_depth=26; total=2625, TP=68, TN=2474, FP=26, FN=57; precision=0.723, recall=0.544
accuracy: (test=0.968) average_precision: (test=0.676) balanced_accuracy: (test=0.767) f1: (test=0.621) roc_auc: (test=0.901) 21.49s
[fit 28/150] END max_depth=27; total=2625, TP=64, TN=2477, FP=23, FN=61; precision=0.736, recall=0.512
accuracy: (test=0.968) average_precision: (test=0.677) balanced_accuracy: (test=0.751) f1: (test=0.604) roc_auc: (test=0.906) 21.72s
[fit 29/150] END max_depth=28; total=2625, TP=69, TN=2483, FP=17, FN=56; precision=0.802, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.681) balanced_accuracy: (test=0.773) f1: (test=0.654) roc_auc: (test=0.892) 21.99s
[fit 30/150] END max_depth=29; total=2625, TP=66, TN=2482, FP=18, FN=59; precision=0.786, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.680) balanced_accuracy: (test=0.760) f1: (test=0.632) roc_auc: (test=0.902) 21.28s
[fit 31/150] END max_depth=30; total=2625, TP=67, TN=2481, FP=19, FN=58; precision=0.779, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.679) balanced_accuracy: (test=0.764) f1: (test=0.635) roc_auc: (test=0.907) 22.26s
[fit 32/150] END max_depth=31; total=2625, TP=67, TN=2483, FP=17, FN=58; precision=0.798, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.671) balanced_accuracy: (test=0.765) f1: (test=0.641) roc_auc: (test=0.904) 22.53s
[fit 33/150] END max_depth=32; total=2625, TP=66, TN=2487, FP=13, FN=59; precision=0.835, recall=0.528
accuracy: (test=0.973) average_precision: (test=0.686) balanced_accuracy: (test=0.761) f1: (test=0.647) roc_auc: (test=0.899) 22.46s
[fit 34/150] END max_depth=33; total=2625, TP=64, TN=2484, FP=16, FN=61; precision=0.800, recall=0.512
accuracy: (test=0.971) average_precision: (test=0.674) balanced_accuracy: (test=0.753) f1: (test=0.624) roc_auc: (test=0.900) 22.35s
[fit 35/150] END max_depth=34; total=2625, TP=61, TN=2484, FP=16, FN=64; precision=0.792, recall=0.488
accuracy: (test=0.970) average_precision: (test=0.664) balanced_accuracy: (test=0.741) f1: (test=0.604) roc_auc: (test=0.890) 21.97s
[fit 36/150] END max_depth=35; total=2625, TP=71, TN=2477, FP=23, FN=54; precision=0.755, recall=0.568
accuracy: (test=0.971) average_precision: (test=0.685) balanced_accuracy: (test=0.779) f1: (test=0.648) roc_auc: (test=0.912) 22.29s
[fit 37/150] END max_depth=36; total=2625, TP=66, TN=2483, FP=17, FN=59; precision=0.795, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.686) balanced_accuracy: (test=0.761) f1: (test=0.635) roc_auc: (test=0.899) 22.94s
[fit 38/150] END max_depth=37; total=2625, TP=65, TN=2479, FP=21, FN=60; precision=0.756, recall=0.520
accuracy: (test=0.969) average_precision: (test=0.671) balanced_accuracy: (test=0.756) f1: (test=0.616) roc_auc: (test=0.898) 22.65s
[fit 39/150] END max_depth=38; total=2625, TP=67, TN=2483, FP=17, FN=58; precision=0.798, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.686) balanced_accuracy: (test=0.765) f1: (test=0.641) roc_auc: (test=0.907) 22.28s
[fit 40/150] END max_depth=39; total=2625, TP=66, TN=2486, FP=14, FN=59; precision=0.825, recall=0.528
accuracy: (test=0.972) average_precision: (test=0.682) balanced_accuracy: (test=0.761) f1: (test=0.644) roc_auc: (test=0.900) 22.68s
[fit 41/150] END max_depth=40; total=2625, TP=68, TN=2485, FP=15, FN=57; precision=0.819, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.681) balanced_accuracy: (test=0.769) f1: (test=0.654) roc_auc: (test=0.895) 22.10s
[fit 42/150] END max_depth=41; total=2625, TP=65, TN=2487, FP=13, FN=60; precision=0.833, recall=0.520
accuracy: (test=0.972) average_precision: (test=0.683) balanced_accuracy: (test=0.757) f1: (test=0.640) roc_auc: (test=0.899) 22.77s
[fit 43/150] END max_depth=42; total=2625, TP=70, TN=2479, FP=21, FN=55; precision=0.769, recall=0.560
accuracy: (test=0.971) average_precision: (test=0.688) balanced_accuracy: (test=0.776) f1: (test=0.648) roc_auc: (test=0.902) 22.83s
[fit 44/150] END max_depth=43; total=2625, TP=66, TN=2486, FP=14, FN=59; precision=0.825, recall=0.528
accuracy: (test=0.972) average_precision: (test=0.698) balanced_accuracy: (test=0.761) f1: (test=0.644) roc_auc: (test=0.899) 23.03s
[fit 45/150] END max_depth=44; total=2625, TP=68, TN=2480, FP=20, FN=57; precision=0.773, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.675) balanced_accuracy: (test=0.768) f1: (test=0.638) roc_auc: (test=0.891) 22.11s
[fit 46/150] END max_depth=45; total=2625, TP=63, TN=2487, FP=13, FN=62; precision=0.829, recall=0.504
accuracy: (test=0.971) average_precision: (test=0.669) balanced_accuracy: (test=0.749) f1: (test=0.627) roc_auc: (test=0.914) 22.01s
[fit 47/150] END max_depth=46; total=2625, TP=66, TN=2488, FP=12, FN=59; precision=0.846, recall=0.528
accuracy: (test=0.973) average_precision: (test=0.693) balanced_accuracy: (test=0.762) f1: (test=0.650) roc_auc: (test=0.910) 21.89s
[fit 48/150] END max_depth=47; total=2625, TP=66, TN=2488, FP=12, FN=59; precision=0.846, recall=0.528
accuracy: (test=0.973) average_precision: (test=0.684) balanced_accuracy: (test=0.762) f1: (test=0.650) roc_auc: (test=0.900) 22.82s
[fit 49/150] END max_depth=48; total=2625, TP=66, TN=2480, FP=20, FN=59; precision=0.767, recall=0.528
accuracy: (test=0.970) average_precision: (test=0.684) balanced_accuracy: (test=0.760) f1: (test=0.626) roc_auc: (test=0.899) 23.80s
[fit 50/150] END max_depth=49; total=2625, TP=67, TN=2482, FP=18, FN=58; precision=0.788, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.682) balanced_accuracy: (test=0.764) f1: (test=0.638) roc_auc: (test=0.919) 22.38s
[fit 51/150] END max_depth=50; total=2625, TP=65, TN=2486, FP=14, FN=60; precision=0.823, recall=0.520
accuracy: (test=0.972) average_precision: (test=0.682) balanced_accuracy: (test=0.757) f1: (test=0.637) roc_auc: (test=0.915) 22.85s
[fit 52/150] END max_depth=51; total=2625, TP=68, TN=2486, FP=14, FN=57; precision=0.829, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.676) balanced_accuracy: (test=0.769) f1: (test=0.657) roc_auc: (test=0.897) 22.37s
[fit 53/150] END max_depth=52; total=2625, TP=64, TN=2484, FP=16, FN=61; precision=0.800, recall=0.512
accuracy: (test=0.971) average_precision: (test=0.676) balanced_accuracy: (test=0.753) f1: (test=0.624) roc_auc: (test=0.897) 22.45s
[fit 54/150] END max_depth=53; total=2625, TP=68, TN=2483, FP=17, FN=57; precision=0.800, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.683) balanced_accuracy: (test=0.769) f1: (test=0.648) roc_auc: (test=0.910) 23.57s
[fit 55/150] END max_depth=54; total=2625, TP=67, TN=2486, FP=14, FN=58; precision=0.827, recall=0.536
accuracy: (test=0.973) average_precision: (test=0.675) balanced_accuracy: (test=0.765) f1: (test=0.650) roc_auc: (test=0.901) 22.46s
[fit 56/150] END max_depth=55; total=2625, TP=64, TN=2485, FP=15, FN=61; precision=0.810, recall=0.512
accuracy: (test=0.971) average_precision: (test=0.680) balanced_accuracy: (test=0.753) f1: (test=0.627) roc_auc: (test=0.913) 23.23s
[fit 57/150] END max_depth=56; total=2625, TP=62, TN=2483, FP=17, FN=63; precision=0.785, recall=0.496
accuracy: (test=0.970) average_precision: (test=0.668) balanced_accuracy: (test=0.745) f1: (test=0.608) roc_auc: (test=0.904) 22.46s
[fit 58/150] END max_depth=57; total=2625, TP=64, TN=2482, FP=18, FN=61; precision=0.780, recall=0.512
accuracy: (test=0.970) average_precision: (test=0.664) balanced_accuracy: (test=0.752) f1: (test=0.618) roc_auc: (test=0.899) 21.62s
[fit 59/150] END max_depth=58; total=2625, TP=68, TN=2479, FP=21, FN=57; precision=0.764, recall=0.544
accuracy: (test=0.970) average_precision: (test=0.669) balanced_accuracy: (test=0.768) f1: (test=0.636) roc_auc: (test=0.911) 23.22s
[fit 60/150] END max_depth=59; total=2625, TP=69, TN=2482, FP=18, FN=56; precision=0.793, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.681) balanced_accuracy: (test=0.772) f1: (test=0.651) roc_auc: (test=0.908) 22.43s
[fit 61/150] END max_depth=60; total=2625, TP=67, TN=2486, FP=14, FN=58; precision=0.827, recall=0.536
accuracy: (test=0.973) average_precision: (test=0.679) balanced_accuracy: (test=0.765) f1: (test=0.650) roc_auc: (test=0.909) 22.23s
[fit 62/150] END max_depth=61; total=2625, TP=67, TN=2485, FP=15, FN=58; precision=0.817, recall=0.536
accuracy: (test=0.972) average_precision: (test=0.666) balanced_accuracy: (test=0.765) f1: (test=0.647) roc_auc: (test=0.895) 22.82s
[fit 63/150] END max_depth=62; total=2625, TP=67, TN=2483, FP=17, FN=58; precision=0.798, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.683) balanced_accuracy: (test=0.765) f1: (test=0.641) roc_auc: (test=0.916) 23.13s
[fit 64/150] END max_depth=63; total=2625, TP=66, TN=2481, FP=19, FN=59; precision=0.776, recall=0.528
accuracy: (test=0.970) average_precision: (test=0.688) balanced_accuracy: (test=0.760) f1: (test=0.629) roc_auc: (test=0.908) 22.91s
[fit 65/150] END max_depth=64; total=2625, TP=68, TN=2482, FP=18, FN=57; precision=0.791, recall=0.544
accuracy: (test=0.971) average_precision: (test=0.681) balanced_accuracy: (test=0.768) f1: (test=0.645) roc_auc: (test=0.903) 22.64s
[fit 66/150] END max_depth=65; total=2625, TP=69, TN=2485, FP=15, FN=56; precision=0.821, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.682) balanced_accuracy: (test=0.773) f1: (test=0.660) roc_auc: (test=0.912) 22.68s
